"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct"
"5370001.08","2021S05075370001.08","0001.08",1.6383,"35",1,114882.0165,1148820165.94531,177180.874408725,227826.731530536,1726463.59182771,13.1961503624498
"5370001.09","2021S05075370001.09","0001.09",1.9699,"35",1,114882.0165,1148820165.94531,177180.874408725,194099.021513518,2076022.07611336,9.34956442644877
"5370120.02","2021S05075370120.02","0120.02",76.965,"35",1,114882.0165,1148820165.94531,177180.874408725,42553.9725723918,81624241.5925673,0.0521339883129362
"5370140.04","2021S05075370140.04","0140.04",3.027,"35",1,114882.0165,1148820165.94531,177180.874408725,103611.994822584,3179543.41910081,3.25870671242119
"5430200.00","2021S05075430200.00","0200.00",86.4527,"35",1,114882.0165,1148820165.94531,177180.874408725,0,662.377003958816,0
"5430201.00","2021S05075430201.00","0201.00",206.3338,"35",1,114882.0165,1148820165.94531,177180.874408725,0,62449.6944397573,0
"5370006.00","2021S05075370006.00","0006.00",2.2035,"35",1,114882.0165,1148820165.94531,177180.874408725,914274.965865196,2321908.47937299,39.3760121894248
"5370007.00","2021S05075370007.00","0007.00",0.8576,"35",1,114882.0165,1148820165.94531,177180.874408725,23430.9066976424,903549.73516844,2.59320608325721
"5370008.00","2021S05075370008.00","0008.00",0.8026,"35",1,114882.0165,1148820165.94531,177180.874408725,100766.448584368,845640.032228878,11.9159979121111
"5370009.00","2021S05075370009.00","0009.00",0.8633,"35",1,114882.0165,1148820165.94531,177180.874408725,47019.7032839835,909573.210913779,5.16942481592508
"5370010.00","2021S05075370010.00","0010.00",0.9053,"35",1,114882.0165,1148820165.94531,177180.874408725,87674.9426010692,953772.068574445,9.19244183068943
"5370011.00","2021S05075370011.00","0011.00",0.8542,"35",1,114882.0165,1148820165.94531,177180.874408725,38167.2163717956,899930.678422402,4.24112848766346
"5370012.00","2021S05075370012.00","0012.00",0.4275,"35",1,114882.0165,1148820165.94531,177180.874408725,6423.31109958436,450368.612731389,1.42623418195783
"5370013.00","2021S05075370013.00","0013.00",1.5464,"35",1,114882.0165,1148820165.94531,177180.874408725,66862.4870813525,1629088.23515567,4.10428886775206
"5370014.00","2021S05075370014.00","0014.00",1.1799,"35",1,114882.0165,1148820165.94531,177180.874408725,52138.9350690432,1242916.89036858,4.19488507019819
"5370015.00","2021S05075370015.00","0015.00",0.619,"35",1,114882.0165,1148820165.94531,177180.874408725,36267.121743057,652020.498346718,5.56226711200292
