"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct","Shape Area","Type","Households","Quality Flags","Dwellings 2016","name","CMA_UID","Population","Households 2016","Dwellings","CSD_UID","Population 2016","CD_UID","Region Name","Area (sq km)","med_income"
"5370001.08","2021S05075370001.08","0001.08",1.6383,"35",1,114882.0165,1148820165.94531,177180.874408725,227826.731530536,1726463.59182771,13.1961503624498,1.6383,"CT",2132,"0",2063,"0001.08","35537",6727,2051,2156,"3525005",6556,"3525","0001.08",1.6383,108000
"5370001.09","2021S05075370001.09","0001.09",1.9699,"35",1,114882.0165,1148820165.94531,177180.874408725,194099.021513518,2076022.07611336,9.34956442644877,1.9699,"CT",1440,"0",1406,"0001.09","35537",4691,1389,1456,"3525005",4566,"3525","0001.09",1.9699,108000
"5370120.02","2021S05075370120.02","0120.02",76.965,"35",1,114882.0165,1148820165.94531,177180.874408725,42553.9725723918,81624241.5925673,0.0521339883129362,76.965,"CT",669,"0",712,"0120.02","35537",2037,692,700,"3525005",2163,"3525","0120.02",76.965,121000
"5370140.04","2021S05075370140.04","0140.04",3.027,"35",1,114882.0165,1148820165.94531,177180.874408725,103611.994822584,3179543.41910081,3.25870671242119,3.027,"CT",1368,"0",1313,"0140.04","35537",3864,1300,1382,"3525005",3634,"3525","0140.04",3.027,137000
"5430200.00","2021S05075430200.00","0200.00",86.4527,"35",1,114882.0165,1148820165.94531,177180.874408725,0,662.377003958816,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5430201.00","2021S05075430201.00","0201.00",206.3338,"35",1,114882.0165,1148820165.94531,177180.874408725,0,62449.6944397573,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5370006.00","2021S05075370006.00","0006.00",2.2035,"35",1,114882.0165,1148820165.94531,177180.874408725,914274.965865196,2321908.47937299,39.3760121894248,2.2035,"CT",2146,"0",2122,"0006.00","35537",5024,2066,2209,"3525005",4699,"3525","0006.00",2.2035,79000
"5370007.00","2021S05075370007.00","0007.00",0.8576,"35",1,114882.0165,1148820165.94531,177180.874408725,23430.9066976424,903549.73516844,2.59320608325721,0.8576,"CT",1594,"0",1628,"0007.00","35537",3498,1586,1631,"3525005",3382,"3525","0007.00",0.8576,69500
"5370008.00","2021S05075370008.00","0008.00",0.8026,"35",1,114882.0165,1148820165.94531,177180.874408725,100766.448584368,845640.032228878,11.9159979121111,0.8026,"CT",1102,"0",1118,"0008.00","35537",2584,1098,1131,"3525005",2533,"3525","0008.00",0.8026,70000
"5370009.00","2021S05075370009.00","0009.00",0.8633,"35",1,114882.0165,1148820165.94531,177180.874408725,47019.7032839835,909573.210913779,5.16942481592508,0.8633,"CT",1421,"0",1451,"0009.00","35537",3580,1412,1473,"3525005",3601,"3525","0009.00",0.8633,73000
"5370010.00","2021S05075370010.00","0010.00",0.9053,"35",1,114882.0165,1148820165.94531,177180.874408725,87674.9426010692,953772.068574445,9.19244183068943,0.9053,"CT",1400,"0",1392,"0010.00","35537",3262,1360,1442,"3525005",3132,"3525","0010.00",0.9053,75500
"5370011.00","2021S05075370011.00","0011.00",0.8542,"35",1,114882.0165,1148820165.94531,177180.874408725,38167.2163717956,899930.678422402,4.24112848766346,0.8542,"CT",963,"0",946,"0011.00","35537",2357,924,984,"3525005",2262,"3525","0011.00",0.8542,85000
"5370012.00","2021S05075370012.00","0012.00",0.4275,"35",1,114882.0165,1148820165.94531,177180.874408725,6423.31109958436,450368.612731389,1.42623418195783,0.4275,"CT",704,"0",765,"0012.00","35537",1814,627,764,"3525005",1524,"3525","0012.00",0.4275,73500
"5370013.00","2021S05075370013.00","0013.00",1.5464,"35",1,114882.0165,1148820165.94531,177180.874408725,66862.4870813525,1629088.23515567,4.10428886775206,1.5464,"CT",1103,"0",1126,"0013.00","35537",2953,1073,1144,"3525005",2818,"3525","0013.00",1.5464,102000
"5370014.00","2021S05075370014.00","0014.00",1.1799,"35",1,114882.0165,1148820165.94531,177180.874408725,52138.9350690432,1242916.89036858,4.19488507019819,1.1799,"CT",1055,"0",1062,"0014.00","35537",2832,1042,1080,"3525005",2707,"3525","0014.00",1.1799,108000
"5370015.00","2021S05075370015.00","0015.00",0.619,"35",1,114882.0165,1148820165.94531,177180.874408725,36267.121743057,652020.498346718,5.56226711200292,0.619,"CT",590,"0",754,"0015.00","35537",1652,750,607,"3525005",1782,"3525","0015.00",0.619,103000
"5370016.00","2021S05075370016.00","0016.00",0.4583,"35",1,114882.0165,1148820165.94531,177180.874408725,32820.3910168788,482722.582542582,6.79901711745246,0.4583,"CT",294,"0",170,"0016.00","35537",1019,170,310,"3525005",506,"3525","0016.00",0.4583,1e+05
